Dataset,Model,Step,embedding_norm,logit_norm,l1_norm,weight_variance,Avg_Probability
OWT,Model 124M,0,124.2610092163086,124.25012969970703,615971.375,0.00040004789480008185,0.0013163611426134593
OWT,Model 124M,500,131.61024475097656,279.77349853515625,651642.875,0.000448767765192315,0.04866271765902638
OWT,Model 124M,1000,138.63824462890625,384.3337097167969,684891.75,0.0004979759105481207,0.04059718945994973
OWT,Model 124M,1500,145.4549102783203,447.3460388183594,716607.875,0.0005481494008563459,0.07076075650379061
OWT,Model 124M,2000,152.08480834960938,501.8495178222656,747133.0,0.0005992579972371459,0.08132726503908634
OWT,Model 124M,2500,158.44036865234375,537.826904296875,776263.5,0.000650390051305294,0.08520283173769712
OWT,Model 124M,3000,164.4766845703125,569.1881713867188,803713.5,0.0007008917164057493,0.08124547741562128
OWT,Model 124M,3500,170.3080291748047,596.4785766601562,830148.5,0.0007514713797718287,0.08712924275547267
OWT,Model 124M,4000,176.01370239257812,615.209228515625,855955.8125,0.0008026664727367461,0.09656560385972261
OWT,Model 124M,4500,181.40908813476562,625.55810546875,880295.625,0.0008526291931048036,0.09910449229180812
OWT,Model 124M,5000,186.56011962890625,632.551513671875,903494.875,0.0009017368429340422,0.10155494069308042
OWT,Model 124M,5500,191.628662109375,644.5404052734375,926345.3125,0.0009513999684713781,0.09628998742252588
OWT,Model 124M,6000,196.53578186035156,655.4737548828125,948417.875,0.0010007495293393731,0.1037929684072733
OWT,Model 124M,6500,201.32029724121094,674.68505859375,969986.75,0.0010500677162781358,0.09847033263742924
OWT,Model 124M,7000,205.9900665283203,696.2158203125,991032.125,0.0010993467876687646,0.09168091835081578
OWT,Model 124M,7500,210.5167236328125,713.5090942382812,1011387.8125,0.0011481941910460591,0.0905307814925909
OWT,Model 124M,8000,214.87429809570312,728.4700317382812,1030987.375,0.001196220051497221,0.10369916032254696
OWT,Model 124M,8500,219.1836395263672,739.6882934570312,1050362.5,0.0012446820037439466,0.10825775566697121
OWT,Model 124M,9000,223.37588500976562,738.3711547851562,1069167.25,0.0012927508214488626,0.10555547086149454
OWT,Model 124M,9500,227.4980010986328,729.9336547851562,1087682.75,0.0013409031089395285,0.10535144022107125
OWT,Model 124M,10000,231.6041717529297,715.9384155273438,1106181.75,0.0013897443423047662,0.10115350559353828
OWT,Model 124M,10500,235.58444213867188,702.9066162109375,1124101.125,0.0014379220083355904,0.09969782013446092
OWT,Model 124M,11000,239.44454956054688,691.7388305664062,1141519.0,0.0014854297041893005,0.1077606452330947
OWT,Model 124M,11500,243.26930236816406,693.318115234375,1158695.0,0.001533263479359448,0.10161147063225508
OWT,Model 124M,12000,246.95944213867188,703.5986328125,1175293.0,0.001580132287926972,0.1105214440152049
OWT,Model 124M,12500,250.58778381347656,715.230712890625,1191653.25,0.001626904122531414,0.10330013997107744
OWT,Model 124M,13000,254.0801239013672,726.947265625,1207413.625,0.0016725671011954546,0.11038688246160745
OWT,Model 124M,13500,257.6045837402344,737.9534301757812,1223344.0,0.0017192907398566604,0.10413160809874535
OWT,Model 124M,14000,261.02569580078125,741.6209716796875,1238851.5,0.0017652600072324276,0.1064547864049673
OWT,Model 124M,14500,264.4336242675781,746.0368041992188,1254285.0,0.001811654889024794,0.1134381991326809
OWT,Model 124M,15000,267.7768249511719,755.1005859375,1269384.0,0.0018577536102384329,0.10769791313260793
OWT,Model 124M,15500,271.0747985839844,762.1632690429688,1284259.25,0.0019037959864363074,0.1056256752833724
OWT,Model 124M,16000,274.33380126953125,766.123046875,1298979.0,0.0019498480251058936,0.11778868654370309
OWT,Model 124M,16500,277.5491638183594,760.79248046875,1313496.5,0.001995823113247752,0.11006598705053329
OWT,Model 124M,17000,280.7090759277344,758.1504516601562,1327720.375,0.002041526837274432,0.10953954131901264
OWT,Model 124M,17500,283.8448181152344,760.3814086914062,1341862.25,0.0020873926114290953,0.11224701733887196
OWT,Model 124M,18000,286.9527893066406,769.3123779296875,1355928.25,0.002133354777470231,0.11621119153499604
OWT,Model 124M,18500,289.9559326171875,788.4647216796875,1369516.125,0.002178241964429617,0.11229052696377038
OWT,Model 124M,19000,292.9980163574219,813.9434814453125,1383210.75,0.0022241882979869843,0.11510702312737703
OWT,Model 124M,19500,295.9152526855469,839.5233154296875,1396435.875,0.0022686992306262255,0.11385402444005012
OWT,Model 124M,20000,298.7900085449219,861.510009765625,1409488.625,0.002312992699444294,0.11276472222805023
OWT,Model 124M,20500,301.5709533691406,872.7807006835938,1422140.25,0.002356249140575528,0.11204104901105165
OWT,Model 124M,21000,304.27777099609375,876.1034545898438,1434542.0,0.0023987365420907736,0.11773347649723291
OWT,Model 124M,21500,307.08209228515625,877.4393310546875,1447227.25,0.0024431555066257715,0.10917544704675675
OWT,Model 124M,22000,309.8663330078125,875.4476318359375,1459906.75,0.0024876596871763468,0.11544918552786111
OWT,Model 124M,22500,312.6523742675781,875.8721313476562,1472490.5,0.0025325941387563944,0.10971317034959793
OWT,Model 124M,23000,315.3116760253906,871.4660034179688,1484539.25,0.0025758601259440184,0.1128188928887248
OWT,Model 124M,23500,318.0150146484375,862.9496459960938,1496907.0,0.002620218088850379,0.11656342723220586
OWT,Model 124M,24000,320.67279052734375,852.7456665039062,1509005.5,0.0026641974691301584,0.11289199587702752
OWT,Model 124M,24500,323.3039245605469,845.5383911132812,1520978.75,0.00270809605717659,0.11585725817084312
OWT,Model 124M,25000,325.9296569824219,833.59716796875,1532917.75,0.002752263331785798,0.10835781744122505
OWT,Model 124M,25500,328.5427551269531,820.3998413085938,1544775.25,0.002796571236103773,0.1110003151446581
OWT,Model 124M,26000,331.1333312988281,807.5547485351562,1556542.5,0.0028408479411154985,0.11711330576986075
OWT,Model 124M,26500,333.7178649902344,793.7984619140625,1568283.125,0.0028853672556579113,0.1164578448086977
OWT,Model 124M,27000,336.35491943359375,788.7589111328125,1580228.75,0.0029311482794582844,0.12437990626692771
OWT,Model 124M,27500,338.9102478027344,783.2587280273438,1591857.625,0.0029758536256849766,0.11616068284958601
OWT,Model 124M,28000,341.40643310546875,782.7071533203125,1603262.5,0.0030198507010936737,0.11573245053738355
OWT,Model 124M,28500,343.8388977050781,782.9564819335938,1614364.5,0.0030630365945398808,0.12046423158794642
OWT,Model 124M,29000,345.11444091796875,784.3873291015625,1620116.25,0.0030858044046908617,0.12258066661655903
OWT,Model 30M,0,87.88167572021484,87.83003997802734,308028.4375,0.00040019242442213,5.7768474005570166e-05
OWT,Model 30M,500,93.76080322265625,307.02691650390625,328028.0,0.000455527740996331,0.06607099689170719
