Dataset,Model,Step,embedding_norm,logit_norm,l1_norm,weight_variance,Avg_Probability
Wiki,Model 124M,500,130.9884033203125,351.98419189453125,648259.0,0.0004445369413588196,0.08186612305790186
Wiki,Model 124M,1000,137.269775390625,506.560302734375,677368.625,0.00048819350195117295,0.09938429551571608
Wiki,Model 124M,1500,143.26986694335938,627.0911254882812,704543.625,0.0005318043986335397,0.10324248235672712
Wiki,Model 124M,2000,148.98101806640625,724.4905395507812,729951.1875,0.0005750479176640511,0.11609825147688389
Wiki,Model 124M,2500,154.5404052734375,797.962890625,754372.5625,0.0006187657709233463,0.12290778440237045
Wiki,Model 124M,3000,159.83168029785156,847.2176513671875,777369.875,0.0006618626066483557,0.12305342045426369
Wiki,Model 124M,3500,164.9987335205078,884.22314453125,799662.9375,0.0007053478620946407,0.12978663890063763
Wiki,Model 124M,4000,169.99032592773438,911.029541015625,821110.625,0.0007486702525056899,0.13298030385375023
Wiki,Model 124M,4500,174.76866149902344,926.6025390625,841456.875,0.0007913512527011335,0.13931634629517795
Wiki,Model 124M,5000,179.46609497070312,916.7965087890625,861387.5,0.000834462814964354,0.1301469097957015
Wiki,Model 124M,5500,184.05697631835938,901.7352294921875,880876.625,0.0008777013281360269,0.14134402699768545
Wiki,Model 124M,6000,188.4855499267578,891.5619506835938,899558.875,0.0009204461239278316,0.1307060170918703
Wiki,Model 124M,6500,192.85365295410156,885.2169799804688,917990.125,0.0009636025642976165,0.14208286325633526
Wiki,Model 124M,7000,197.13230895996094,889.6005249023438,935936.875,0.0010068337433040142,0.14599334543943404
Wiki,Model 124M,7500,201.2689666748047,891.0653686523438,953240.625,0.0010495322057977319,0.14937422069907189
Wiki,Model 124M,8000,205.28488159179688,892.95751953125,969989.375,0.001091832877136767,0.1470384230017662
Wiki,Model 124M,8500,209.33132934570312,900.3526611328125,986952.0625,0.0011353000300005078,0.14791910007596015
Wiki,Model 124M,9000,213.24130249023438,907.522705078125,1003244.0,0.0011781072244048119,0.14519559028744697
Wiki,Model 124M,9500,217.1121826171875,918.8040161132812,1019353.125,0.001221266807988286,0.15707805970311164
Wiki,Model 124M,10000,220.92337036132812,926.1278076171875,1035175.75,0.0012645194074139,0.15899520291388033
Wiki,Model 124M,10500,224.66128540039062,929.5126342773438,1050738.5,0.001307671656832099,0.1609872961640358
Wiki,Model 124M,11000,228.32815551757812,939.6370239257812,1065909.5,0.001350706908851862,0.1563254377245903
Wiki,Model 124M,11500,231.95726013183594,945.8198852539062,1080897.25,0.001393985003232956,0.155426721945405
Wiki,Model 124M,12000,235.48318481445312,948.4791259765625,1095445.75,0.0014366863761097193,0.16330586533248426
Wiki,Model 124M,12500,239.0267791748047,955.3150024414062,1110167.875,0.0014802508521825075,0.16289239586889745
Wiki,Model 124M,13000,242.47894287109375,962.1803588867188,1124375.0,0.0015233169542625546,0.16006892678141593
Wiki,Model 124M,13500,245.9339599609375,965.00244140625,1138720.5,0.0015670368447899818,0.16796189583837987
Wiki,Model 124M,14000,249.31915283203125,971.4951782226562,1152682.25,0.0016104730311781168,0.16898265099525453
Wiki,Model 124M,14500,252.6881561279297,965.9260864257812,1166581.625,0.001654291176237166,0.16531813433766365
Wiki,Model 124M,15000,256.0364685058594,958.3392944335938,1180415.5,0.0016984225949272513,0.17609508761763573
Wiki,Model 124M,15500,259.3240661621094,949.7498779296875,1193977.0,0.0017423196695744991,0.1696052376627922
Wiki,Model 124M,16000,262.6031188964844,931.3712158203125,1207515.0,0.0017866597045212984,0.17743822661042213
Wiki,Model 124M,16500,265.8111877441406,914.566162109375,1220697.25,0.0018305800622329116,0.1756575672775507
Wiki,Model 124M,17000,268.9527282714844,891.9043579101562,1233694.375,0.0018741056555882096,0.1824299253821373
Wiki,Model 124M,17500,272.10736083984375,865.0907592773438,1246794.5,0.0019183276453986764,0.17545983734726905
Wiki,Model 124M,18000,275.224609375,842.4118041992188,1259663.5,0.0019625313580036163,0.17849306431412698
Wiki,Model 124M,18500,278.2835693359375,821.1376342773438,1272327.25,0.002006398979574442,0.17686170670390128
Wiki,Model 124M,19000,281.3321838378906,811.8338623046875,1284960.75,0.0020505995489656925,0.18264580196142197
Wiki,Model 124M,19500,284.33355712890625,804.8242797851562,1297360.75,0.0020945866126567125,0.17855798542499543
Wiki,Model 124M,20000,287.28179931640625,798.399169921875,1309544.5,0.0021382493432611227,0.18325217735767366
Wiki,Model 124M,20500,290.2337951660156,800.0720825195312,1321764.875,0.00218241848051548,0.1895649578422308
Wiki,Model 124M,21000,293.14801025390625,794.518310546875,1333834.625,0.0022264656145125628,0.18489400535821915
Wiki,Model 124M,21500,296.0856018066406,798.5663452148438,1346012.625,0.002271311590448022,0.19145329202711583
Wiki,Model 124M,22000,298.9934387207031,802.9190673828125,1358049.375,0.002316143596544862,0.18731321641802787
Wiki,Model 124M,22500,301.82391357421875,814.5797119140625,1369729.875,0.0023602035362273455,0.18521475553512573
Wiki,Model 124M,23000,304.6297302246094,826.6766967773438,1381322.75,0.002404289087280631,0.1878993684500456
Wiki,Model 124M,23500,307.4280700683594,839.1441040039062,1392853.0,0.002448663581162691,0.19329881294071674
Wiki,Model 124M,24000,310.1742248535156,850.4011840820312,1404201.25,0.0024926054757088423,0.1831924219429493
Wiki,Model 124M,24500,312.9162902832031,866.5340576171875,1415515.625,0.0025368714705109596,0.1907231822758913
Wiki,Model 124M,25000,315.62139892578125,874.6718139648438,1426697.125,0.0025809230282902718,0.18391071455180644
Wiki,Model 124M,25500,318.3236083984375,884.2205810546875,1437920.0,0.0026253056712448597,0.19614325016736983
Wiki,Model 124M,26000,320.9966735839844,892.341552734375,1448969.0,0.0026695814449340105,0.1925297524333
Wiki,Model 124M,26500,323.6434326171875,899.119140625,1459917.625,0.002713786670938134,0.19558308574557304
Wiki,Model 124M,27000,326.256591796875,905.2454833984375,1470727.25,0.0027577870059758425,0.19935826839506626
Wiki,Model 124M,27500,328.8760070800781,909.6756591796875,1481559.375,0.002802247414365411,0.1963412934690714
Wiki,Model 124M,28000,331.45465087890625,915.083251953125,1492222.5,0.002846363466233015,0.19948355323076247
Wiki,Model 124M,28500,334.0302429199219,917.9759521484375,1502907.0,0.002890771022066474,0.1906615752130747
Wiki,Model 124M,28759,335.3629455566406,921.004638671875,1508431.875,0.0029138841200619936,0.19670431903004645
Wiki,Model 124M,29000,336.5853271484375,922.9733276367188,1513505.5,0.002935165073722601,0.19744537085294722
Wiki,Model 124M,29500,339.13360595703125,929.1317749023438,1523978.5,0.002979777054861188,0.20261039060354233
Wiki,Model 124M,30000,341.6324768066406,937.8441772460938,1534348.5,0.003023851430043578,0.1991803409010172
Wiki,Model 124M,30500,344.1006774902344,947.031494140625,1544533.375,0.0030677022878080606,0.19266185316443443
Wiki,Model 124M,31000,346.55810546875,955.7802734375,1554691.25,0.0031116753816604614,0.20232905055582523
Wiki,Model 124M,31500,348.9922180175781,957.938720703125,1564714.125,0.003155539743602276,0.19655319540202618
Wiki,Model 124M,32000,351.4107360839844,961.2022094726562,1574662.75,0.0031994273886084557,0.19293407602608204
Wiki,Model 124M,32500,353.84893798828125,954.0130615234375,1584694.75,0.003243978600949049,0.20077875745296478
Wiki,Model 124M,33000,356.2136535644531,948.1211547851562,1594408.25,0.0032874809112399817,0.19617200925946235
Wiki,Model 124M,33500,358.6038513183594,941.9970092773438,1604235.125,0.0033317473717033863,0.20510021096467973
Wiki,Model 124M,34000,360.9731750488281,937.8524169921875,1614034.375,0.0033759193029254675,0.20538509680330752
Wiki,Model 124M,34500,363.3409729003906,934.10888671875,1623845.375,0.003420352702960372,0.20527248565852643
Wiki,Model 124M,35000,365.6811828613281,934.9691772460938,1633509.0,0.003464554203674197,0.19851591889560222
Wiki,Model 124M,35500,368.03253173828125,937.1235961914062,1643264.5,0.0035092520993202925,0.20100667643547057
Wiki,Model 124M,36000,370.32940673828125,934.88232421875,1652668.75,0.003553191665560007,0.2012052648961544
Wiki,Model 124M,36500,372.5852355957031,927.7130737304688,1662021.375,0.003596611088141799,0.20010655064880847
Wiki,Model 124M,37000,374.8689880371094,922.5375366210938,1671423.75,0.0036408365704119205,0.20912737511098384
Wiki,Model 124M,37500,377.1399841308594,915.0236206054688,1680849.0,0.003685083705931902,0.2129893629103899
Wiki,Model 124M,38000,379.4170227050781,911.125732421875,1690250.0,0.003729716408997774,0.2118707648664713
Wiki,Model 124M,38500,381.6543884277344,913.4774169921875,1699453.5,0.003773833392187953,0.20617954440414907
Wiki,Model 124M,39000,383.92230224609375,908.9866943359375,1708874.875,0.003818817436695099,0.20811495204269886
Wiki,Model 124M,39500,386.14190673828125,903.3938598632812,1717993.25,0.003863101126626134,0.20959899911284446
Wiki,Model 124M,40000,388.3191223144531,895.00537109375,1726979.625,0.003906787373125553,0.20456964634358882
Wiki,Model 124M,40500,390.50439453125,884.8029174804688,1735967.0,0.003950882237404585,0.2109385298639536
Wiki,Model 124M,41000,392.6726989746094,872.7113037109375,1744931.0,0.003994878847151995,0.21089080786705017
Wiki,Model 124M,41500,394.8292541503906,861.10546875,1753833.75,0.00403887964785099,0.21640550020337104
Wiki,Model 124M,42000,396.98809814453125,848.2925415039062,1762701.5,0.00408316683024168,0.2126039288789034
Wiki,Model 124M,42500,399.12188720703125,837.8484497070312,1771557.875,0.004127178806811571,0.20057534715533257
Wiki,Model 124M,43000,401.2698669433594,827.7734375,1780403.25,0.004171721637248993,0.21098944169282913
