Model,Step,l1_norm,weight_variance,logit_norm,Avg_Probability,embedding_norm,Dataset
Model 124M,0,615904.5,0.0004000453627668,123.94972229003906,0.0002947967712243,123.9673309326172,Wikipedia
Model 124M,500,648317.4375,0.0004446911334525,346.26776123046875,0.0802593609467148,130.67330932617188,Wikipedia
Model 124M,1000,677266.125,0.0004882088105659,489.0779418945313,0.0980726199820637,136.85772705078125,Wikipedia
Model 124M,1500,704347.125,0.0005316939787007,615.08447265625,0.1032411144599318,142.7845458984375,Wikipedia
Model 124M,2000,729835.6875,0.0005751230055466,720.5767211914062,0.1161136015430092,148.4787139892578,Wikipedia
Model 124M,2500,754250.125,0.0006188263650983,800.2874145507812,0.120732094682753,154.00811767578125,Wikipedia
Model 124M,3000,777247.9375,0.0006619301857426,851.7653198242188,0.1241934217363596,159.2843017578125,Wikipedia
Model 124M,3500,799508.4375,0.0007052641012705,886.1654052734375,0.1282186565771698,164.42535400390625,Wikipedia
Model 124M,4000,821022.75,0.0007487213006243,897.6367797851562,0.1292839575558901,169.4254150390625,Wikipedia
Model 124M,4500,841445.5,0.0007915888563729,904.5253295898438,0.1386687864884734,174.2267303466797,Wikipedia
Model 124M,5000,861446.375,0.0008347329567186,900.3246459960938,0.1320845783501863,178.93255615234375,Wikipedia
Model 124M,5500,881039.1875,0.0008782035438343,899.4279174804688,0.1366701574400067,183.49362182617188,Wikipedia
Model 124M,6000,899833.9375,0.0009212561999447,899.5263061523438,0.1298241640180349,187.86492919921875,Wikipedia
Model 124M,6500,918227.75,0.0009643360972404,901.64599609375,0.1429381543695926,192.1515655517578,Wikipedia
Model 124M,7000,936266.8125,0.0010076286271214,905.0899658203124,0.1452565618306398,196.3766632080078,Wikipedia
Model 124M,7500,953604.5625,0.0010503301164135,904.3027954101562,0.1505775730162859,200.46832275390625,Wikipedia
Model 124M,8000,970486.0,0.0010930178686976,907.078125,0.1494566645026206,204.4822235107422,Wikipedia
Model 124M,8500,987487.3125,0.0011365247191861,907.8441772460938,0.1455615730434656,208.502685546875,Wikipedia
Model 124M,9000,1003880.1875,0.0011795442551374,912.142333984375,0.1428936211317777,212.4085693359375,Wikipedia
Model 124M,9500,1019860.375,0.0012225264217704,911.4967651367188,0.155273104429245,216.2481231689453,Wikipedia
Model 124M,10000,1035731.4375,0.0012658295454457,908.7174072265624,0.1561560768336057,220.051025390625,Wikipedia
Model 124M,10500,1051368.125,0.0013092431472614,893.1502685546875,0.157159453690052,223.80316162109372,Wikipedia
Model 124M,11000,1066369.5,0.0013517551124095,887.9992065429688,0.1533573984205722,227.41880798339844,Wikipedia
Model 124M,11500,1081322.75,0.001395015977323,886.0186767578125,0.1524530714154243,231.04583740234372,Wikipedia
Model 124M,12000,1095883.0,0.0014375856844708,888.5416259765625,0.1584812299460172,234.56329345703125,Wikipedia
Model 124M,12500,1110522.875,0.0014810563297942,891.5878295898438,0.1614583374261856,238.10215759277344,Wikipedia
Model 124M,13000,1124742.75,0.0015242281369864,895.7227172851562,0.1631279291510582,241.5648956298828,Wikipedia
Model 124M,13500,1139065.375,0.0015679333591833,892.3198852539062,0.1677821654379367,245.02574157714844,Wikipedia
Model 124M,14000,1153017.0,0.0016113431192934,894.336669921875,0.1707511291950941,248.41473388671875,Wikipedia
Model 124M,14500,1166992.5,0.0016553029417991,891.3803100585938,0.1602952245175838,251.8013458251953,Wikipedia
Model 124M,15000,1180855.25,0.0016993473982438,887.770263671875,0.1729181917309761,255.15264892578125,Wikipedia
Model 124M,15500,1194503.375,0.0017435516929253,881.5033569335938,0.1669032777547836,258.3828125,Wikipedia
Model 124M,16000,1207890.0,0.0017874975455924,877.9095458984375,0.1765280551463365,261.5367736816406,Wikipedia
Model 124M,16500,1221034.125,0.001831229426898,879.5214233398438,0.1757649522870779,264.6503295898437,Wikipedia
Model 124M,17000,1234126.0,0.0018751174211502,881.1181030273438,0.177149673551321,267.7430725097656,Wikipedia
Model 124M,17500,1247273.25,0.0019196150824427,881.5828247070312,0.1736272556632757,270.85107421875,Wikipedia
Model 124M,18000,1260175.875,0.0019640056416392,877.1024169921875,0.1785258630514145,273.9241027832031,Wikipedia
Model 124M,18500,1272901.875,0.0020080634858459,872.5380859375,0.1758318208456039,276.9487609863281,Wikipedia
Model 124M,19000,1285572.625,0.0020525190047919,868.7564697265625,0.181852616250515,279.974609375,Wikipedia
Model 124M,19500,1297966.25,0.002096451818943,868.5780639648438,0.1730069893896579,282.9384460449219,Wikipedia
Model 124M,20000,1310236.5,0.0021405033767223,872.791015625,0.1827364616692066,285.878662109375,Wikipedia
Model 124M,20500,1322447.75,0.0021846240852028,879.7489624023438,0.1879408561587333,288.80224609375,Wikipedia
Model 124M,21000,1334522.875,0.00222889194265,885.6581420898438,0.1859196972101927,291.7057800292969,Wikipedia
Model 124M,21500,1346729.625,0.0022738785482943,899.0137329101562,0.1832128555178642,294.6365661621094,Wikipedia
Model 124M,22000,1358760.125,0.0023184355814009,910.0928955078124,0.1865466442108154,297.50946044921875,Wikipedia
Model 124M,22500,1370523.375,0.0023626487236469,925.1578369140624,0.1870553827732801,300.338623046875,Wikipedia
Model 124M,23000,1382226.75,0.0024069626815617,940.7060546875,0.1852546110898256,303.1508483886719,Wikipedia
Model 124M,23500,1393705.625,0.0024512445088475,952.0463256835938,0.19236083060503,305.9364013671875,Wikipedia
Model 124M,24000,1405145.0,0.0024954380933195,958.3789672851562,0.182426309376955,308.690185546875,Wikipedia
Model 124M,24500,1416609.125,0.0025402039755135,962.1337890625,0.1931438060849905,311.4551086425781,Wikipedia
Model 124M,25000,1427792.0,0.0025843472685664,961.7714233398438,0.1847668523043394,314.16357421875,Wikipedia
Model 124M,25500,1439055.75,0.0026291827671229,960.407470703125,0.1947725653350353,316.8911437988281,Wikipedia
Model 124M,26000,1450172.125,0.0026736941654235,950.9419555664062,0.1936087131947279,319.5833435058594,Wikipedia
Model 124M,26500,1461288.625,0.0027186940424144,940.2892456054688,0.1963676831424236,322.281005859375,Wikipedia
Model 124M,27000,1472248.625,0.0027631281409412,926.1168823242188,0.19993894071877,324.9168701171875,Wikipedia
Model 124M,27500,1483173.75,0.0028077533934265,911.329345703125,0.19825120434165,327.54901123046875,Wikipedia
Model 124M,28000,1493830.75,0.0028520794585347,902.2496337890624,0.2018063261806965,330.1423034667969,Wikipedia
Model 124M,28500,1504446.625,0.00289635383524,896.2536010742188,0.185220052152872,332.7132263183594,Wikipedia
Model 124M,29000,1509920.25,0.0029193894006311,892.20361328125,0.196950828269124,334.0443420410156,Wikipedia
Model 30M,0,308018.34375,0.000400189863285,87.76112365722656,5.156243891178747e-05,87.80791473388672,Wikipedia
Model 30M,500,326142.0,0.0004507298290263,360.4827270507813,0.0918274041339755,93.1764678955078,Wikipedia
Model 30M,1000,343965.71875,0.0005059869727119,511.9220275878906,0.1071495176926255,98.7047119140625,Wikipedia
Model 30M,1500,360289.21875,0.0005604383768513,602.1629638671875,0.1167457928881049,103.87075805664062,Wikipedia
Model 30M,2000,375466.65625,0.000614782446064,663.2635498046875,0.1253833018764853,108.78675079345705,Wikipedia
