embedding_norm,l1_norm,weight_variance,weight_skew,weight_kurtosis,logit_norm,Model,Step
124.24738,809.3682,0.00040004583,0.00027960358,-0.0002799034,124.23049,Model 124M,0
130.99576,862.47455,0.00044469142,0.00035750572,0.04192424,346.92474,Model 124M,500
137.25323,915.16235,0.0004882083,0.00035916257,0.123196125,490.0864,Model 124M,1000
143.23369,957.5659,0.0005316954,0.0004592801,0.2210598,616.4835,Model 124M,1500
148.96767,998.59235,0.0005751233,0.0002896445,0.32546926,722.12085,Model 124M,2000
154.52373,1034.1353,0.0006188267,0.00046557296,0.4299767,802.12317,Model 124M,2500
159.81485,1067.6195,0.000661931,0.00038614753,0.5312898,853.7483,Model 124M,3000
164.96385,1102.0034,0.00070526346,0.00021581382,0.6279466,888.1839,Model 124M,3500
169.97066,1133.3511,0.00074872206,0.000279746,0.7176299,899.7355,Model 124M,4000
174.76952,1162.2275,0.000791588,0.00031112978,0.80442476,906.65155,Model 124M,4500
179.46979,1190.4136,0.00083473243,0.00015779196,0.8842492,902.6333,Model 124M,5000
184.08112,1219.5674,0.00087820436,9.5656476e-05,0.95875025,901.8315,Model 124M,5500
188.53638,1246.4949,0.00092125597,0.0003664336,1.030695,901.9502,Model 124M,6000
192.89182,1272.9941,0.00096433784,0.00031940654,1.095891,904.19525,Model 124M,6500
197.17207,1298.6321,0.0010076273,0.00038784256,1.1557555,907.46106,Model 124M,7000
201.30531,1321.559,0.0010503287,0.0005995366,1.2141843,906.66223,Model 124M,7500
205.35474,1345.3291,0.0010930168,0.0005424152,1.2702723,909.5759,Model 124M,8000
209.40123,1369.5709,0.0011365267,0.0005513336,1.3199644,910.3982,Model 124M,8500
213.32736,1393.4764,0.0011795425,0.00047057212,1.3683734,914.9267,Model 124M,9000
217.17967,1417.0917,0.0012225271,0.00045886077,1.4161978,914.2399,Model 124M,9500
220.99304,1439.3103,0.0012658306,0.00026620223,1.4583855,911.64075,Model 124M,10000
224.75096,1460.1227,0.0013092447,0.0003582009,1.4998207,896.08734,Model 124M,10500
228.37143,1480.7611,0.0013517583,0.00020224569,1.5394402,890.86676,Model 124M,11000
231.99776,1501.9618,0.0013950145,9.5617484e-05,1.5796175,888.9434,Model 124M,11500
235.51163,1523.7974,0.0014375853,1.9075012e-05,1.6153193,891.27014,Model 124M,12000
239.04692,1545.0311,0.0014810552,3.3464017e-05,1.6498833,894.5035,Model 124M,12500
242.50691,1563.2755,0.0015242302,0.00022550442,1.6832952,898.531,Model 124M,13000
245.95993,1583.0662,0.0015679335,0.0003215258,1.713861,895.1614,Model 124M,13500
249.34242,1602.9764,0.0016113443,-6.248108e-06,1.7442608,897.0485,Model 124M,14000
252.72215,1624.1803,0.0016553055,6.124202e-05,1.7729473,893.88617,Model 124M,14500
256.0617,1643.6115,0.0016993487,0.00010063839,1.7991343,890.37366,Model 124M,15000
259.36722,1663.4893,0.0017435504,1.633085e-05,1.8253207,883.9079,Model 124M,15500
