token_id,token_str,count,log_count
187,"
",7507146,6.875474862166875
13,",",5163589,6.712951666953097
253, the,3636976,6.560740435203198
15,.,2860311,6.456413256290163
273, of,2194816,6.34139811750107
285, and,1931231,6.285834224077261
281, to,1635216,6.213575127890599
247, a,1247326,6.095979975128805
275, in,1060274,6.025418111784516
326, that,713671,5.853498049572032
369, was,650150,5.813013566884096
309, I,649082,5.8122995656723875
28,;,635688,5.803244013250541
344, he,558560,5.747069831470103
50276,  ,545869,5.73708843134348
352, it,536976,5.729954875456557
521, his,536588,5.729640956088331
342, with,475868,5.677486501414264
310, is,465464,5.6678860973346765
323, for,448420,5.65168497434206
347, as,443010,5.646413529599599
14,-,437723,5.641199367062397
27,:,403757,5.606120064837661
574, had,391231,5.592433259703333
320, be,387887,5.588705224501131
417, not,363152,5.560088440309536
368, you,338732,5.5298562263669675
327, on,329648,5.518050445189387
407, by,316106,5.499832739250403
387, at,315659,5.499218176348673
3,"""",314350,5.497413464686206
617, her,299740,5.476744702972677
534, which,290256,5.462781205981529
452, have,270834,5.432703183962505
434,'s,257551,5.4108632404664085
432, from,255450,5.407305907018282
779, him,254045,5.40491065174079
533, but,244766,5.388751090606297
512, all,242984,5.385577677135412
436, this,236386,5.37362175180824
783,the,235159,5.371361604708891
597, they,233666,5.368595524173953
497, were,219351,5.341139618652028
619, my,215383,5.333211421814553
390, or,214766,5.331965528511967
84,s,208173,5.318424400912244
703, she,206150,5.314183339137378
283,--,205723,5.313282848888144
346," """,203519,5.308604960047581
479, me,201238,5.3037099924477875
403, are,194434,5.288772210802543
616, their,192424,5.28425923827109
594, so,187254,5.272431103591121
581, one,185620,5.268624768335871
271, an,183847,5.264456547481597
42,I,181165,5.258074298334853
64,_,178126,5.250727315490201
731, them,176500,5.246744709723841
457,’,174239,5.24114536989719
380, The,169687,5.229648571577974
359, we,168473,5.2265303094175675
449,".""",168311,5.2261125003084965
753, said,164403,5.21590973821351
510,The,160796,5.206275240932739
395,and,158128,5.199008778020835
50274,    ,157828,5.198184053162154
535,"

",151507,5.180432698786463
642, no,151484,5.180366764332285
644, been,147639,5.1692010949362945
665, who,145680,5.163399932786864
651, would,143745,5.157592747203928
937,",""",140652,5.148145911992072
588, will,138497,5.141440366197893
264,ed,137114,5.137081800612497
313, (,133610,5.125838963995005
32,?,131260,5.1181323999209045
562, out,131098,5.117596066246993
627, there,131085,5.117552998403011
2,!,126809,5.103150077769923
672, when,126744,5.102927409200101
598, up,123612,5.092060633218915
795, _,123546,5.091828688984967
625, more,122839,5.089336272308237
604, if,116105,5.0648509228019005
637, man,114816,5.0600024126919605
715, into,113943,5.056687649790608
1171,of,112215,5.050050913799034
249,in,111675,5.0479559611438765
8,',110787,5.044488802274189
1628,“,110502,5.043370138483604
314,ly,106136,5.0258627161305425
754, He,105503,5.023264809064249
66,a,102687,5.011515466132567
513, do,102086,5.008966187340198
752, what,101727,5.007436237040195
272,ing,99689,4.99864723952671
685, than,97229,4.98779581905728
2220, upon,96680,4.985336641735612
812, could,96084,4.982651074554795
556, has,95904,4.981836721265551
690, some,94793,4.976776267996111
634, your,94406,4.97499959688371
776, our,94117,4.973668075492824
673, time,93527,4.9709370040092615
1077, very,92705,4.9671031582421215
667, any,90988,4.958984118942735
936,to,90808,4.9581241106665574
643, other,90629,4.9572671880159165
626,'t,89675,4.952671385348004
1024, now,86964,4.939339507365903
697, its,85605,4.932499131604639
1898,And,84558,4.927154702312191
670, about,84418,4.926435058796204
840, then,84169,4.925152167415155
476, can,83999,4.924274115858703
1244, And,82507,4.916490796215481
10,),82303,4.9154156658283075
858, did,81970,4.91365493508662
751, like,81164,4.909363442194728
760, only,81007,4.908522548878899
689, over,79021,4.897742521317762
1652, little,78650,4.8956987269593055
441, us,76821,4.885479956196187
1270, great,76327,4.882678192958696
1160, made,76056,4.881133480901907
733, It,75927,4.880396240531349
778, may,75789,4.879606176793427
90,y,74144,4.870076012109881
943, should,73493,4.866245975735252
3091, shall,72729,4.861707616205181
767, two,71651,4.855222256023681
865,"?""",71026,4.851417357022564
824, such,70519,4.8483061451252825
1078, before,69556,4.842334598806851
85,t,69415,4.841453327995523
871, know,68484,4.835589118596583
923, see,68406,4.835094196056521
841, these,68367,4.834846523120294
1175, good,68217,4.833892616389263
261,is,67103,4.826741936775862
1821, men,66249,4.821179327170964
1066, down,65753,4.8179155724275455
3529,that,65202,4.814260917444224
1199, much,64973,4.812732919918612
1364, must,64839,4.81183630818402
806, first,62984,4.799230238433963
1292, But,62420,4.795323764329314
1425,.”,62369,4.794968780800153
50275,   ,62197,4.793769437506466
60,[,62097,4.793070619260037
773, “,61627,4.789771026806493
846, after,61510,4.788945727023748
62,],61473,4.788684408039575
265,es,60824,4.784074977478697
2210, came,59815,4.776810107071013
973, well,59241,4.772622380889286
1388, day,59079,4.771433135621675
