token_id,token_str,count,log_count
262, the,5586113,6.747109716681865
837," ,",4971506,6.696487967891409
764, .,3629298,6.559822629386052
286, of,2737627,6.43737427547186
290, and,2500061,6.397950605328117
284, to,1981606,6.297017308557063
287, in,1900939,6.278968180837854
257, a,1685213,6.226654800684153
796, =,1466599,6.166311384536157
366," """,1338685,6.1266783971346666
2488, @,1189140,6.07523298804863
31,@,1188701,6.075072628058436
220, ,1171693,6.068813835341308
628,"

",1165028,6.066336363215569
373, was,1076072,6.031841330955428
705, ',947169,5.976427475538838
12,-,885069,5.94697712962566
82,s,865688,5.9373613974527135
383, The,860491,5.934746332338445
319, on,689815,5.83873263385045
326, that,679899,5.83244440241135
329, for,679368,5.832105086615966
355, as,676238,5.830099571526792
351, with,632253,5.800890898720839
416, by,601572,5.77928761393916
1267, ),583875,5.766319880295839
357, (,583522,5.766057234500477
318, is,514600,5.711469781874328
1279, <,445711,5.649053352462551
29,>,445310,5.64866244787332
2954,unk,443432,5.646827030505937
465, his,436603,5.640086715521012
422, from,431900,5.635383204047499
13,.,424229,5.627600353264674
379, at,418472,5.621666404617676
547, were,354670,5.549824454935242
340, it,326544,5.513941708336155
339, he,321172,5.506737676159734
281, an,309808,5.491092628113299
550, had,292912,5.466737164194499
554, In,290728,5.463486860665847
543, which,275598,5.440276061595111
307, be,239478,5.379265622479364
475, but,203864,5.309340541218497
389, are,203306,5.308150195797115
407, not,195782,5.291772760705012
2162, ;,191058,5.281165227227856
717, first,190034,5.278831309854791
511, their,186430,5.270515799574357
784, –,185670,5.268741737412476
1058, :,181247,5.258270826861082
635, also,179733,5.254627823364566
607, her,178475,5.251577390630632
663, its,174862,5.242695441363345
393, or,168965,5.227796752654619
530, one,163524,5.213581501966609
423, have,163476,5.213454002668254
734, two,156875,5.195553738825113
508, who,155542,5.191847678927833
587, been,152111,5.18216062145972
468, has,150873,5.178611526056717
11,",",149265,5.173957985294826
679, He,149076,5.173407731269665
428, this,145573,5.1630808321310475
484, they,135556,5.132118745149423
317, A,131941,5.1203797713378565
314, I,131194,5.117913973557353
706, after,130961,5.117141982628868
561, would,126375,5.101661168599057
352, 1,126175,5.100973313405723
640, time,124559,5.09537511291728
656, into,123422,5.091392579689178
632, It,121902,5.08601083098211
584, other,114071,5.057175248793503
1248, 18,110344,5.042748723200121
517, more,110212,5.042228883536219
625, over,105315,5.022490232090356
673, she,105086,5.02154486133996
362, 2,102514,5.010783179611837
618, when,102051,5.008817264734148
477, all,101206,5.005206260425207
400,th,100488,5.0021142026028365
683, him,99888,4.999513317587214
503, out,97430,4.988692702549817
1141, during,96296,4.9836082475190615
691, only,93734,4.971897150482587
510, up,93107,4.968982333474265
546, about,90231,4.955355770534847
621, than,90223,4.955317263703661
983, game,89860,4.953566414257007
1022, between,88286,4.945891840556045
1568, later,87579,4.942399981996077
1115, three,87171,4.940372028112439
513, 3,86780,4.938419645793193
749, most,84554,4.927134157608942
642, 5,83935,4.9239430947648515
981, while,83599,4.9222010824978755
1550, On,82668,4.917337430799773
649, new,82305,4.915426219251761
347, B,78846,4.896779665680242
925, made,78033,4.892278303806481
2646, film,77115,4.887138862922715
12877, 000,75684,4.879004077040944
884, such,75223,4.876350649712077
810, where,74695,4.873291531600059
1622, season,74642,4.872983267626533
604, 4,74016,4.869325611090526
878, before,73776,4.867915104875332
968, New,73696,4.867443916284137
64,a,73012,4.863394245127093
614, year,72083,4.857832853114363
812, years,71934,4.856934210580607
770, This,71349,4.853387890589764
1220, /,71237,4.85270562175584
617, some,70188,4.846262867410947
973, used,69555,4.842328354951485
606, them,69410,4.84142204440236
852, being,68204,4.8338098457266545
3496, song,67713,4.830672055483784
788, then,67331,4.828215064657413
1218, second,67200,4.827369273053825
832, through,66598,4.82346118709814
276,ed,66378,4.822024162775068
1028, against,66221,4.820995734724759
278,ing,65764,4.81798822066788
5062, album,64308,4.808265003091237
2293, After,64155,4.807230509312492
718, 6,64136,4.807101870589332
2627, became,63805,4.804854713005252
460, can,63022,4.799492181370214
1390, including,63019,4.799471507407837
371, R,62993,4.7992922918301195
851, —,62893,4.798602311096355
1271, number,62630,4.796782411701308
612, there,62440,4.79546289439038
1578, United,62313,4.794578660452036
360, D,62126,4.793273392340771
636, part,61820,4.791129000727286
880, well,61628,4.789778073895567
1111, both,61410,4.788239097382168
2168, series,61228,4.786950073527684
645, no,60937,4.78488106958609
327, C,60906,4.784660078158933
337, M,60553,4.782135664426562
739, under,59913,4.777521066390996
767, 7,58826,4.769569318606929
1596, 17,58819,4.769517636659088
1440, four,58679,4.768482704043391
72,i,58064,4.763906950856481
838, 10,57869,4.762445977642028
309, T,57500,4.7596678446896306
311, S,57226,4.757593390524166
1074, team,57161,4.757099817926543
807, 8,57073,4.756430701516937
4471, episode,56585,4.752701320223626
531, said,56186,4.749628114854059
1081, As,56037,4.748474876822147
406, L,55975,4.747994102251068
867, many,55942,4.7477379889113935
509, K,55420,4.743666521446213
1811, several,55130,4.741387992479269
1605, American,55043,4.740702096156591
523, so,54705,4.7380270223694625
78,o,54568,4.7369380365230915
402, G,54467,4.7361334553295675
1900, known,54120,4.733357787925585
714, could,53939,4.7319028906057925
750, did,53697,4.729950022760255
350, P,52786,4.722518753424607
860, 9,52704,4.72184357748966
670, work,52688,4.721711713367832
2540, began,52608,4.721051791523937
83,t,52199,4.717662183104909
367, H,52019,4.716161999173651
1375, She,51130,4.708675792726537
376, F,50961,4.707237941505881
1903, early,50880,4.706547102640357
2716, released,50452,4.702878387059499
88,y,50304,4.701602520023295
1566, until,50298,4.70155071654236
1444, called,50216,4.700842115642654
261,on,50208,4.700772921906843
285, m,50204,4.700738320904402
1110, day,49285,4.692714760890481
471, U,48505,4.685786508921555
886, end,48026,4.681476416531345
1315, 15,47658,4.678135812933035
3517, British,47574,4.677369668235016
1510, million,47542,4.6770774477054475
272,an,47520,4.676876431973137
777, these,46985,4.671959231191368
1467, 16,46808,4.670320085102662
720, $,46734,4.669632954223164
1629, At,46482,4.667284806350367
268,en,46447,4.666957668264617
1105, 12,46430,4.666798683666174
657, 0,45800,4.660865478003869
1043, found,45633,4.659279021054444
263,er,45316,4.656251568124394
399, N,45312,4.656213231673656
2693, September,45264,4.655752930112915
1829, States,44989,4.653106339924657
2647, music,44892,4.6521689542458295
976, same,44749,4.650783334638871
661, people,44574,4.649081608732339
780, because,44347,4.646864245869805
274,es,44278,4.646187995933419
1160, 20,43878,4.642246823807891
588, like,43878,4.642246823807891
385,us,43859,4.64205872539365
2159, World,43737,4.640848990678567
736, back,43714,4.640620547932022
1088, around,43463,4.63811969986024
259,in,43351,4.6369991200238285
743, may,43258,4.636066436299495
10571, km,43226,4.635745049128339
1737, May,43124,4.634719037367886
1718, took,43017,4.63364011946669
364,ers,42999,4.633458355590472
520, St,42969,4.633155246643283
2932, August,42641,4.62982738104172
890, long,42490,4.628286731089514
572, off,42484,4.6282254001672145
779, use,42414,4.627509232044942
1810, War,42315,4.626494345211047
1708, following,42309,4.626432760627577
2102, However,42070,4.623972512016996
597, any,41915,4.622369470494736
1757, John,41721,4.620354709372832
2722, received,41651,4.619625432856092
3267, October,41420,4.617210094557434
1863, along,41296,4.615907987199794
449, J,40899,4.611712689430539
1181, state,40862,4.6113196194600805
370, W,40786,4.610511114900085
1123, each,40516,4.607626562461257
1936, five,40323,4.605552835812909
4289, century,40135,4.6035232673127915
1989, area,39982,4.601864514825594
1119, They,39953,4.601549395277767
1204, life,39747,4.599304354813531
1029, high,39587,4.5975525910976875
2361, ],39564,4.597300193190778
685, [,39483,4.59641014384427
905, show,39387,4.59535290304669
2795, June,39248,4.59381753086231
1748, city,39037,4.591476434673244
1294, US,39021,4.591298394964111
283,ar,38952,4.590529761537838
569, V,38828,4.589145020952085
412, E,38525,4.585742647390457
2901, July,38502,4.585483289674834
4064, %,38497,4.5854268870614865
271,is,38346,4.583720067932199
3389, November,38234,4.582449735817971
