token_id,token_str,token_len,is_upper,embedding_norm,weight_variance,weight_mean,l1_norm,dist_to_center,weight_skew,weight_kurtosis,logit_norm
0,|||IP_ADDRESS|||,16,0,0.9966202,0.000242391,-0.00031955334,51.44827,0.9905144,0.07199931,-0.2102983,0.23813088
1,<|padding|>,11,0,0.9814214,0.00023512449,-0.0001697285,50.19341,0.98912495,-0.009392169,-0.14542794,0.11194611
2,!,1,0,1.3395331,0.00043805607,0.00013195182,47.450832,1.3389486,13.514705,433.37347,1.12834
3,"""",1,0,1.1701088,0.000334266,-1.49908155e-05,49.50155,1.1689599,5.1878624,126.7018,1.2393723
4,#,1,0,1.4174647,0.0004905287,1.3294746e-05,69.11798,1.4096272,0.7177707,10.580944,1.1321852
5,$,1,0,1.5638574,0.0005970278,-0.00023406491,78.26917,1.5541002,0.413308,3.6091604,1.1490182
6,%,1,0,1.5225058,0.000565891,-0.0001809213,74.26825,1.5132263,0.9162248,11.606617,1.0152031
7,&,1,0,1.5823691,0.0006112504,0.0002266824,78.62804,1.574491,0.5896797,6.066066,1.4175795
8,',1,0,1.3718004,0.00045942643,-7.9411984e-05,59.32865,1.3682164,3.5168982,69.46705,1.4743332
9,(,1,0,1.3393865,0.00043756113,-0.0006452893,47.405926,1.3393166,7.641511,268.0317,1.3700178
10,),1,0,1.2920974,0.0004075094,-0.000295371,45.26001,1.2936188,11.521128,346.09232,1.0460701
11,*,1,0,1.4009578,0.0004791518,0.00013734189,68.12388,1.3936983,0.9509684,12.5378065,1.2285072
12,+,1,0,1.6102419,0.00063296757,0.00024408635,79.09176,1.6019548,0.87860227,10.58035,1.2555581
13,",",1,0,2.01269,0.0009889369,-0.0002398281,10.006752,2.0123975,48.264458,2754.633,1.3432016
14,-,1,0,2.1260996,0.0011032672,-0.00056696835,28.056332,2.123094,40.27403,2030.8811,1.5431583
15,.,1,0,2.1328773,0.0011101563,-0.0006928431,9.848674,2.1352587,47.871082,2584.6362,1.3026937
16,/,1,0,1.3776155,0.00046332998,7.793031e-05,51.402588,1.3762114,11.354269,318.73907,1.6159964
17,0,1,0,1.7263445,0.00072760374,7.2910625e-06,73.599144,1.7178669,0.30640107,43.191723,1.1030201
18,1,1,0,1.5361038,0.0005760511,-0.00016347985,71.92395,1.5305364,1.9597664,35.61107,1.2206118
19,2,1,0,1.5491406,0.0005858458,-0.00022765323,72.07382,1.5428135,1.5652937,30.827679,1.1800597
20,3,1,0,1.5789634,0.0006086697,-5.8739053e-05,74.922195,1.5727115,1.5484594,24.159624,1.1052898
21,4,1,0,1.5595692,0.00059351535,-0.0005452131,75.8706,1.5523572,0.839352,10.914414,1.0882683
22,5,1,0,1.5729867,0.0006039982,-0.0002754783,76.86427,1.5658017,0.8653077,11.410928,1.0375069
23,6,1,0,1.6603284,0.00067301304,-8.41447e-05,80.40114,1.6538143,1.2651435,19.053118,0.99592346
24,7,1,0,1.6036638,0.0006277812,0.00029063007,78.96954,1.5962089,0.5339332,6.607213,0.98441774
25,8,1,0,1.6723052,0.00068275497,9.9181576e-05,82.55613,1.6645404,0.7630462,9.581577,0.9972007
26,9,1,0,1.675806,0.00068560755,0.00013724843,82.68686,1.6675521,0.55242807,5.92008,0.98136735
27,:,1,0,1.5324157,0.00057318516,-0.00036028138,34.398228,1.531489,32.759056,1492.2236,1.3652527
28,;,1,0,1.2714634,0.0003946151,0.00025933774,42.47667,1.2727801,16.810125,550.18854,1.2690616
