Model,Step,Method,Bin_ID,Feature_Value
124M,23000,Frequency,0,2.381438732147217
124M,23000,Frequency,1,2.2982006072998047
124M,23000,Frequency,2,2.2178852558135986
124M,23000,Frequency,3,2.1448557376861572
124M,23000,Frequency,4,2.071800947189331
124M,23000,Frequency,5,2.008706569671631
124M,23000,Frequency,6,1.942885160446167
124M,23000,Frequency,7,1.8810391426086426
124M,23000,Frequency,8,1.8202943801879883
124M,23000,Frequency,9,1.7647087574005127
124M,23000,Frequency,10,1.7174710035324097
124M,23000,Frequency,11,1.6743061542510986
124M,23000,Frequency,12,1.6164077520370483
124M,23000,Frequency,13,1.5750312805175781
124M,23000,Frequency,14,1.5196410417556763
124M,23000,Frequency,15,1.5034198760986328
124M,23000,Frequency,16,1.46225905418396
124M,23000,Frequency,17,1.4282636642456055
124M,23000,Frequency,18,1.3780051469802856
124M,23000,Frequency,19,1.36661696434021
124M,23000,Frequency,20,1.3289660215377808
124M,23000,Frequency,21,1.2809231281280518
124M,23000,Frequency,22,1.277466058731079
124M,23000,Frequency,23,1.2376855611801147
124M,23000,Frequency,24,1.2056273221969604
124M,23000,Frequency,25,1.1807825565338135
124M,23000,Frequency,26,1.1566269397735596
124M,23000,Frequency,27,1.128522515296936
124M,23000,Frequency,28,1.103602647781372
124M,23000,Frequency,29,1.0724018812179565
124M,23000,Frequency,30,1.0454702377319336
124M,23000,Frequency,31,1.0068532228469849
124M,23000,Frequency,32,0.9872974753379822
124M,23000,Frequency,33,0.9406107068061829
124M,23000,Frequency,34,0.9082448482513428
124M,23000,Frequency,35,0.8704374432563782
124M,23000,Frequency,36,0.8323317170143127
124M,23000,Frequency,37,0.7820638418197632
124M,23000,Frequency,38,0.7433925271034241
124M,23000,Frequency,39,0.6901519894599915
124M,23000,Frequency,40,0.649134635925293
124M,23000,Frequency,41,0.6147043108940125
124M,23000,Frequency,42,0.5903156995773315
124M,23000,Frequency,43,0.5723751187324524
124M,23000,Frequency,44,0.5685052275657654
124M,23000,Random,0,1.331434965133667
124M,23000,Random,1,1.3487064838409424
124M,23000,Random,2,1.3636877536773682
124M,23000,Random,3,1.348156213760376
124M,23000,Random,4,1.3392351865768433
124M,23000,Random,5,1.3379029035568237
124M,23000,Random,6,1.3139349222183228
124M,23000,Random,7,1.3166570663452148
124M,23000,Random,8,1.333922266960144
124M,23000,Random,9,1.3098249435424805
124M,23000,Random,10,1.315757155418396
124M,23000,Random,11,1.3344074487686157
124M,23000,Random,12,1.3305573463439941
124M,23000,Random,13,1.338202953338623
124M,23000,Random,14,1.3541799783706665
124M,23000,Random,15,1.290949821472168
124M,23000,Random,16,1.3420771360397339
124M,23000,Random,17,1.3225922584533691
124M,23000,Random,18,1.3624743223190308
124M,23000,Random,19,1.3191893100738525
124M,23000,Random,20,1.3478089570999146
124M,23000,Random,21,1.3563894033432007
124M,23000,Random,22,1.310689926147461
124M,23000,Random,23,1.3525725603103638
124M,23000,Random,24,1.3738210201263428
124M,23000,Random,25,1.3295104503631592
124M,23000,Random,26,1.3341037034988403
124M,23000,Random,27,1.3409085273742676
124M,23000,Random,28,1.3409597873687744
124M,23000,Random,29,1.3361350297927856
124M,23000,Random,30,1.3263550996780396
124M,23000,Random,31,1.34685218334198
124M,23000,Random,32,1.3472028970718384
