Model,Step,Method,Bin_ID,Feature_Value
124M,23000,Global,-1,303.1508483886719
124M,23000,Frequency,0,2.381438732147217
124M,23000,Frequency,1,2.2982006072998047
124M,23000,Frequency,2,2.2178852558135986
124M,23000,Frequency,3,2.1448557376861572
124M,23000,Frequency,4,2.071800947189331
124M,23000,Frequency,5,2.008706569671631
124M,23000,Frequency,6,1.942885160446167
124M,23000,Frequency,7,1.8810391426086426
124M,23000,Frequency,8,1.8202943801879883
124M,23000,Frequency,9,1.7647087574005127
124M,23000,Frequency,10,1.7174710035324097
124M,23000,Frequency,11,1.6743061542510986
124M,23000,Frequency,12,1.6164077520370483
124M,23000,Frequency,13,1.5750312805175781
124M,23000,Frequency,14,1.5196410417556763
124M,23000,Frequency,15,1.5034198760986328
124M,23000,Frequency,16,1.46225905418396
124M,23000,Frequency,17,1.4282636642456055
124M,23000,Frequency,18,1.3780051469802856
124M,23000,Frequency,19,1.36661696434021
124M,23000,Frequency,20,1.3289660215377808
124M,23000,Frequency,21,1.2809231281280518
124M,23000,Frequency,22,1.277466058731079
124M,23000,Frequency,23,1.2376855611801147
124M,23000,Frequency,24,1.2056273221969604
124M,23000,Frequency,25,1.1807825565338135
124M,23000,Frequency,26,1.1566269397735596
124M,23000,Frequency,27,1.128522515296936
124M,23000,Frequency,28,1.103602647781372
124M,23000,Frequency,29,1.0724018812179565
124M,23000,Frequency,30,1.0454702377319336
124M,23000,Frequency,31,1.0068532228469849
124M,23000,Frequency,32,0.9872974753379822
124M,23000,Frequency,33,0.9406107068061829
124M,23000,Frequency,34,0.9082448482513428
124M,23000,Frequency,35,0.8704374432563782
124M,23000,Frequency,36,0.8323317170143127
124M,23000,Frequency,37,0.7820638418197632
124M,23000,Frequency,38,0.7433925271034241
124M,23000,Frequency,39,0.6901519894599915
124M,23000,Frequency,40,0.649134635925293
124M,23000,Frequency,41,0.6147043108940125
124M,23000,Frequency,42,0.5903156995773315
124M,23000,Frequency,43,0.5723751187324524
124M,23000,Frequency,44,0.5685052275657654
124M,23000,Random,0,1.3245731592178345
124M,23000,Random,1,1.3650575876235962
124M,23000,Random,2,1.3546072244644165
124M,23000,Random,3,1.3201953172683716
124M,23000,Random,4,1.34049391746521
124M,23000,Random,5,1.3137351274490356
124M,23000,Random,6,1.3230860233306885
124M,23000,Random,7,1.3340202569961548
124M,23000,Random,8,1.3525527715682983
124M,23000,Random,9,1.3465889692306519
124M,23000,Random,10,1.354361891746521
124M,23000,Random,11,1.3390350341796875
124M,23000,Random,12,1.3307193517684937
124M,23000,Random,13,1.3502260446548462
124M,23000,Random,14,1.331902265548706
124M,23000,Random,15,1.3450521230697632
124M,23000,Random,16,1.3213237524032593
124M,23000,Random,17,1.3377116918563843
124M,23000,Random,18,1.325500249862671
124M,23000,Random,19,1.3293207883834839
124M,23000,Random,20,1.3225144147872925
124M,23000,Random,21,1.3085980415344238
124M,23000,Random,22,1.3097251653671265
124M,23000,Random,23,1.3298369646072388
124M,23000,Random,24,1.3232653141021729
124M,23000,Random,25,1.3195478916168213
124M,23000,Random,26,1.3641252517700195
124M,23000,Random,27,1.336753487586975
124M,23000,Random,28,1.3520939350128174
124M,23000,Random,29,1.36275053024292
124M,23000,Random,30,1.3166345357894897
124M,23000,Random,31,1.3509032726287842
124M,23000,Random,32,1.332299828529358
124M,23000,Random,33,1.319809079170227
124M,23000,Random,34,1.3014886379241943
124M,23000,Random,35,1.3109560012817383
124M,23000,Random,36,1.3591214418411255
124M,23000,Random,37,1.3502236604690552
124M,23000,Random,38,1.3380787372589111
124M,23000,Random,39,1.3458709716796875
124M,23000,Random,40,1.3360871076583862
124M,23000,Random,41,1.3825877904891968
124M,23000,Random,42,1.3370765447616577
124M,23000,Random,43,1.3456357717514038
124M,23000,Random,44,1.3041563034057617
124M,23500,Global,-1,305.9364013671875
124M,23500,Frequency,0,2.4038567543029785
124M,23500,Frequency,1,2.3220455646514893
124M,23500,Frequency,2,2.240274667739868
124M,23500,Frequency,3,2.166285753250122
124M,23500,Frequency,4,2.092378854751587
124M,23500,Frequency,5,2.0289313793182373
124M,23500,Frequency,6,1.9631325006484985
124M,23500,Frequency,7,1.9001929759979248
124M,23500,Frequency,8,1.838665246963501
124M,23500,Frequency,9,1.782015323638916
124M,23500,Frequency,10,1.7345441579818726
124M,23500,Frequency,11,1.6914751529693604
124M,23500,Frequency,12,1.6318955421447754
124M,23500,Frequency,13,1.5904124975204468
124M,23500,Frequency,14,1.5339710712432861
124M,23500,Frequency,15,1.517886757850647
124M,23500,Frequency,16,1.4760127067565918
124M,23500,Frequency,17,1.4414706230163574
124M,23500,Frequency,18,1.3901772499084473
124M,23500,Frequency,19,1.3790251016616821
124M,23500,Frequency,20,1.3410080671310425
124M,23500,Frequency,21,1.2931371927261353
124M,23500,Frequency,22,1.289562702178955
124M,23500,Frequency,23,1.2489131689071655
124M,23500,Frequency,24,1.216795563697815
124M,23500,Frequency,25,1.1910685300827026
124M,23500,Frequency,26,1.1668424606323242
124M,23500,Frequency,27,1.1386401653289795
124M,23500,Frequency,28,1.112493872642517
124M,23500,Frequency,29,1.0812804698944092
124M,23500,Frequency,30,1.054245948791504
124M,23500,Frequency,31,1.0148876905441284
124M,23500,Frequency,32,0.9947909116744995
124M,23500,Frequency,33,0.9474033713340759
124M,23500,Frequency,34,0.9142782688140869
124M,23500,Frequency,35,0.8763031363487244
124M,23500,Frequency,36,0.8375685811042786
124M,23500,Frequency,37,0.7862601280212402
124M,23500,Frequency,38,0.747366189956665
124M,23500,Frequency,39,0.6928830146789551
124M,23500,Frequency,40,0.650908350944519
124M,23500,Frequency,41,0.6158981919288635
124M,23500,Frequency,42,0.5910547375679016
124M,23500,Frequency,43,0.5726907849311829
124M,23500,Frequency,44,0.5685963034629822
124M,23500,Random,0,1.3368620872497559
124M,23500,Random,1,1.3769545555114746
124M,23500,Random,2,1.3675200939178467
124M,23500,Random,3,1.3318333625793457
124M,23500,Random,4,1.3520448207855225
124M,23500,Random,5,1.3253514766693115
124M,23500,Random,6,1.3346166610717773
124M,23500,Random,7,1.3453432321548462
124M,23500,Random,8,1.3649896383285522
124M,23500,Random,9,1.3582594394683838
124M,23500,Random,10,1.3669540882110596
124M,23500,Random,11,1.35096275806427
124M,23500,Random,12,1.3426364660263062
124M,23500,Random,13,1.3617582321166992
124M,23500,Random,14,1.3437721729278564
124M,23500,Random,15,1.3569366931915283
124M,23500,Random,16,1.3332481384277344
124M,23500,Random,17,1.3495439291000366
124M,23500,Random,18,1.3375325202941895
124M,23500,Random,19,1.3417967557907104
124M,23500,Random,20,1.3341535329818726
124M,23500,Random,21,1.3200185298919678
124M,23500,Random,22,1.3211758136749268
124M,23500,Random,23,1.340987205505371
124M,23500,Random,24,1.33488929271698
124M,23500,Random,25,1.3315014839172363
124M,23500,Random,26,1.3756133317947388
124M,23500,Random,27,1.3490204811096191
124M,23500,Random,28,1.3633716106414795
124M,23500,Random,29,1.3754687309265137
124M,23500,Random,30,1.3282610177993774
124M,23500,Random,31,1.3625874519348145
124M,23500,Random,32,1.343724012374878
124M,23500,Random,33,1.3312245607376099
124M,23500,Random,34,1.312058925628662
124M,23500,Random,35,1.3221983909606934
124M,23500,Random,36,1.3705778121948242
124M,23500,Random,37,1.3621468544006348
124M,23500,Random,38,1.349737524986267
124M,23500,Random,39,1.3576843738555908
124M,23500,Random,40,1.3478806018829346
124M,23500,Random,41,1.39491605758667
124M,23500,Random,42,1.3486757278442383
124M,23500,Random,43,1.3579579591751099
124M,23500,Random,44,1.3163245916366577
124M,24000,Global,-1,308.690185546875
124M,24000,Frequency,0,2.4267501831054688
124M,24000,Frequency,1,2.3439385890960693
124M,24000,Frequency,2,2.263186454772949
124M,24000,Frequency,3,2.1878623962402344
124M,24000,Frequency,4,2.1134250164031982
124M,24000,Frequency,5,2.050025463104248
124M,24000,Frequency,6,1.9822262525558472
124M,24000,Frequency,7,1.9181879758834839
124M,24000,Frequency,8,1.856833815574646
124M,24000,Frequency,9,1.7995680570602417
124M,24000,Frequency,10,1.7518965005874634
124M,24000,Frequency,11,1.7078745365142822
124M,24000,Frequency,12,1.647843837738037
124M,24000,Frequency,13,1.6055662631988525
124M,24000,Frequency,14,1.5483214855194092
124M,24000,Frequency,15,1.5323331356048584
124M,24000,Frequency,16,1.4896690845489502
124M,24000,Frequency,17,1.4551538228988647
124M,24000,Frequency,18,1.4033405780792236
124M,24000,Frequency,19,1.3904613256454468
124M,24000,Frequency,20,1.353055715560913
124M,24000,Frequency,21,1.3047568798065186
124M,24000,Frequency,22,1.3006752729415894
124M,24000,Frequency,23,1.2597240209579468
124M,24000,Frequency,24,1.227484941482544
124M,24000,Frequency,25,1.2012312412261963
124M,24000,Frequency,26,1.1767613887786865
124M,24000,Frequency,27,1.1479922533035278
124M,24000,Frequency,28,1.1217564344406128
124M,24000,Frequency,29,1.0897935628890991
124M,24000,Frequency,30,1.062880039215088
124M,24000,Frequency,31,1.0225415229797363
124M,24000,Frequency,32,1.0021370649337769
124M,24000,Frequency,33,0.9543799161911011
124M,24000,Frequency,34,0.9207957983016968
124M,24000,Frequency,35,0.882247805595398
124M,24000,Frequency,36,0.8428486585617065
124M,24000,Frequency,37,0.7902514934539795
124M,24000,Frequency,38,0.7513221502304077
124M,24000,Frequency,39,0.6957021355628967
124M,24000,Frequency,40,0.6531128883361816
124M,24000,Frequency,41,0.61723393201828
124M,24000,Frequency,42,0.5919182300567627
124M,24000,Frequency,43,0.5729973316192627
124M,24000,Frequency,44,0.5688658952713013
124M,24000,Random,0,1.348584771156311
124M,24000,Random,1,1.3888593912124634
124M,24000,Random,2,1.3792943954467773
124M,24000,Random,3,1.3429301977157593
124M,24000,Random,4,1.363256812095642
124M,24000,Random,5,1.336923599243164
124M,24000,Random,6,1.3460091352462769
124M,24000,Random,7,1.3566758632659912
124M,24000,Random,8,1.3767250776290894
124M,24000,Random,9,1.370481252670288
124M,24000,Random,10,1.3789416551589966
124M,24000,Random,11,1.3630565404891968
124M,24000,Random,12,1.3534940481185913
124M,24000,Random,13,1.3736525774002075
124M,24000,Random,14,1.3545969724655151
124M,24000,Random,15,1.368403434753418
124M,24000,Random,16,1.3442342281341553
124M,24000,Random,17,1.361204981803894
124M,24000,Random,18,1.348920464515686
