Model,Step,Avg_Probability
Model 124M,0,0.0002947967712243553
Model 124M,500,0.08025936094671487
Model 124M,1000,0.09807261998206376
Model 124M,1500,0.10324111445993185
Model 124M,2000,0.11611360154300929
Model 124M,2500,0.12073209468275309
Model 124M,3000,0.1241934217363596
Model 124M,3500,0.12821865657716988
Model 124M,4000,0.1292839575558901
Model 124M,4500,0.13866878648847342
Model 124M,5000,0.13208457835018636
Model 124M,5500,0.13667015744000674
Model 124M,6000,0.12982416401803493
Model 124M,6500,0.14293815436959267
Model 124M,7000,0.14525656183063984
Model 124M,7500,0.1505775730162859
Model 124M,8000,0.14945666450262068
Model 124M,8500,0.14556157304346562
Model 124M,9000,0.14289362113177775
Model 124M,9500,0.155273104429245
Model 124M,10000,0.15615607683360577
Model 124M,10500,0.15715945369005202
Model 124M,11000,0.15335739842057228
Model 124M,11500,0.15245307141542436
Model 124M,12000,0.15848122994601727
Model 124M,12500,0.1614583374261856
Model 124M,13000,0.1631279291510582
Model 124M,13500,0.16778216543793678
Model 124M,14000,0.1707511291950941
Model 124M,14500,0.16029522451758385
Model 124M,15000,0.1729181917309761
Model 124M,15500,0.16690327775478364
Model 124M,16000,0.17652805514633654
Model 124M,16500,0.1757649522870779
Model 124M,17000,0.17714967355132102
Model 124M,17500,0.17362725566327572
Model 124M,18000,0.1785258630514145
Model 124M,18500,0.17583182084560395
Model 124M,19000,0.181852616250515
Model 124M,19500,0.17300698938965797
Model 124M,20000,0.18273646166920662
Model 124M,20500,0.18794085615873338
Model 124M,21000,0.1859196972101927
Model 124M,21500,0.18321285551786423
Model 124M,22000,0.18654664421081543
Model 124M,22500,0.18705538277328015
Model 124M,23000,0.18525461108982563
Model 124M,23500,0.19236083060503006
Model 124M,24000,0.18242630937695503
Model 124M,24500,0.1931438060849905
Model 124M,25000,0.1847668523043394
Model 124M,25500,0.1947725653350353
Model 124M,26000,0.1936087131947279
Model 124M,26500,0.19636768314242364
Model 124M,27000,0.19993894071877003
Model 124M,27500,0.19825120434165
Model 124M,28000,0.2018063261806965
Model 124M,28500,0.18522005215287207
Model 124M,29000,0.19695082826912402
Model 30M,0,5.156243891178747e-05
Model 30M,500,0.09182740413397551
Model 30M,1000,0.10714951769262553
Model 30M,1500,0.11674579288810491
Model 30M,2000,0.12538330187648536
Model 30M,2500,0.13303567511588335
Model 30M,3000,0.1344746852517128
Model 30M,3500,0.1403757628798485
Model 30M,4000,0.14671987892687322
Model 30M,4500,0.1515804854184389
Model 30M,5000,0.1451222105026245
Model 30M,5500,0.15003231097757816
Model 30M,6000,0.1434144987463951
Model 30M,6500,0.15535754461586476
Model 30M,7000,0.1571212669610977
Model 30M,7500,0.16477550579607486
Model 30M,8000,0.16124224270880222
Model 30M,8500,0.1586041093468666
Model 30M,9000,0.15278788769245147
Model 30M,9500,0.16737969437241554
Model 30M,10000,0.16491435581445693
Model 30M,10500,0.16951986263692378
Model 30M,11000,0.16968868887424468
Model 30M,11500,0.1662815450578928
Model 30M,12000,0.172758390173316
Model 30M,12500,0.17679012866318225
Model 30M,13000,0.1746580183804035
Model 30M,13500,0.1769435318261385
Model 30M,14000,0.17679525101184845
Model 30M,14500,0.16480016426742078
Model 30M,15000,0.17851256629824638
Model 30M,15500,0.1748551035821438
Model 30M,16000,0.1814914762824774
Model 30M,16500,0.1831359061896801
Model 30M,17000,0.18616393154859542
Model 30M,17500,0.1782289580106735
Model 30M,18000,0.18352695639431477
Model 30M,18500,0.17916318453848362
Model 30M,19000,0.1829313914179802
Model 30M,19500,0.18034786082804202
Model 30M,20000,0.18547854571044445
Model 30M,20500,0.19066188830137254
Model 30M,21000,0.18542772157490253
Model 30M,21500,0.18891586723923684
Model 30M,22000,0.18781051455438136
Model 30M,22500,0.18270997987687587
Model 30M,23000,0.18813733331859112
Model 30M,23500,0.1889532084017992
Model 30M,24000,0.17951791082322596
Model 30M,24500,0.19102679428458214
Model 30M,25000,0.18654142309725286
Model 30M,25500,0.18973033325374125
Model 30M,26000,0.1879298041164875
Model 30M,26500,0.19524265308678151
Model 30M,27000,0.19586589536070823
Model 30M,27500,0.19212190009653568
Model 30M,28000,0.19910781048238277
Model 30M,28500,0.1851843587309122
Model 30M,29000,0.19059340357780458
Model 7M,0,2.3920853454910684e-05
Model 7M,500,0.08589146614074707
Model 7M,1000,0.097406584456563
Model 7M,1500,0.10013458973914385
Model 7M,2000,0.11072523231804371
Model 7M,2500,0.11425292042642832
Model 7M,3000,0.11394095488637686
Model 7M,3500,0.12358353288471699
Model 7M,4000,0.1240650321021676
Model 7M,4500,0.1292536675184965
Model 7M,5000,0.12322354749590159
Model 7M,5500,0.12974643705040217
Model 7M,6000,0.12399248290807009
Model 7M,6500,0.13452031475305556
Model 7M,7000,0.1360899700820446
Model 7M,7500,0.14283991719782352
Model 7M,8000,0.1410841979533434
Model 7M,8500,0.1387882806956768
Model 7M,9000,0.13791890229284764
Model 7M,9500,0.13812171333283185
Model 7M,10000,0.14031213396042586
Model 7M,10500,0.14741680428385734
Model 7M,11000,0.14312961849570274
Model 7M,11500,0.14078085452318193
Model 7M,12000,0.1480341444015503
Model 7M,12500,0.1481710809022188
Model 7M,13000,0.14815151664614679
Model 7M,13500,0.15535292084515095
Model 7M,14000,0.155309553578496
Model 7M,14500,0.14263984403014182
Model 7M,15000,0.1508429370969534
Model 7M,15500,0.15100786642730235
Model 7M,16000,0.1567247610539198
Model 7M,16500,0.15577705912292003
Model 7M,17000,0.15517869634926318
Model 7M,17500,0.14989108273386956
Model 7M,18000,0.1530117418766022
Model 7M,18500,0.15492593654990197
Model 7M,19000,0.15405462875962259
Model 7M,19500,0.1491268094778061
Model 7M,20000,0.1586122696995735
Model 7M,20500,0.15912231099605562
Model 7M,21000,0.1574768241494894
Model 7M,21500,0.1589685963690281
Model 7M,22000,0.15592121642827989
Model 7M,22500,0.15305205315351486
Model 7M,23000,0.15620083090662956
Model 7M,23500,0.1550218835771084
Model 7M,24000,0.15565520198643207
Model 7M,24500,0.15698999510705472
Model 7M,25000,0.15352054335176946
Model 7M,25500,0.16088961017131806
Model 7M,26000,0.1605345051139593
Model 7M,26500,0.15966657823324204
Model 7M,27000,0.16667666739225387
Model 7M,27500,0.16035059289634226
Model 7M,28000,0.15991061449050903
Model 7M,28500,0.15441018944978713
Model 7M,29000,0.15918496064841747
