Model,Step,l1_norm,weight_variance,logit_norm
Model 7M,0,102655.5546875,0.00040001151501201093,50.63226318359375
Model 7M,500,108559.625,0.0004495666944421828,330.1766662597656
Model 7M,1000,115001.828125,0.0005099818808957934,488.2186279296875
Model 7M,1500,121222.96875,0.0005735150771215558,581.1331787109375
Model 7M,2000,126996.5078125,0.0006367444293573499,651.9789428710938
Model 7M,2500,132464.921875,0.0006998227909207344,710.6146850585938
Model 7M,3000,137584.515625,0.0007623606943525374,751.4135131835938
Model 7M,3500,142462.765625,0.0008249307866208255,777.510009765625
Model 7M,4000,147081.96875,0.0008862594841048121,792.4503784179688
Model 7M,4500,151389.203125,0.0009461734443902969,800.5892944335938
Model 7M,5000,155582.296875,0.0010064949747174978,806.7129516601562
Model 7M,5500,159651.78125,0.0010666386224329472,808.6795654296875
Model 7M,6000,163520.875,0.0011256864527240396,808.3453979492188
Model 7M,6500,167335.84375,0.0011857188073918223,813.2565307617188
Model 7M,7000,171034.609375,0.0012456224067136645,822.8584594726562
Model 7M,7500,174565.609375,0.0013040099292993546,833.4595336914062
Model 7M,8000,177950.625,0.0013615093193948269,843.5617065429688
Model 7M,8500,181408.3125,0.0014211467932909727,850.5496215820312
Model 7M,9000,184670.515625,0.0014791206922382116,859.2581787109375
Model 7M,9500,187889.78125,0.0015375911025330424,866.882568359375
Model 7M,10000,191097.703125,0.001596436952240765,876.1326293945312
Model 7M,10500,194240.328125,0.0016551805892959237,882.2556762695312
Model 7M,11000,197249.890625,0.0017129532061517239,890.469970703125
Model 7M,11500,200253.234375,0.0017715732101351023,895.2176513671875
Model 7M,12000,203177.515625,0.0018301112577319145,892.3934326171875
Model 7M,12500,206126.78125,0.0018892730586230755,887.74462890625
Model 7M,13000,209004.375,0.0019480899209156632,881.4431762695312
Model 7M,13500,211852.21875,0.0020068101584911346,872.2341918945312
Model 7M,14000,214637.34375,0.002065979642793536,864.3524780273438
Model 7M,14500,217430.515625,0.002125924453139305,852.6162109375
Model 7M,15000,220150.1875,0.00218465575017035,847.0888061523438
Model 7M,15500,222821.953125,0.002243775175884366,839.297607421875
Model 7M,16000,225486.40625,0.0023029930889606476,832.2974853515625
Model 7M,16500,228105.359375,0.0023617802653461695,828.1307373046875
Model 7M,17000,230677.515625,0.0024209097027778625,823.1829833984375
Model 7M,17500,233289.625,0.002480932278558612,814.887939453125
Model 7M,18000,235854.9375,0.0025406568311154842,806.120849609375
Model 7M,18500,238330.328125,0.002598987426608801,797.7529907226562
Model 7M,19000,240843.40625,0.0026590549387037754,789.6190185546875
Model 7M,19500,243312.578125,0.0027188225649297237,784.136962890625
Model 7M,20000,245734.21875,0.002778471214696765,777.5460815429688
Model 7M,20500,248152.65625,0.002838489832356572,774.4171142578125
Model 7M,21000,250537.40625,0.002898255828768015,768.2494506835938
Model 7M,21500,252987.234375,0.002960625570267439,763.625244140625
Model 7M,22000,255385.640625,0.003021665383130312,759.7718505859375
Model 7M,22500,257745.953125,0.003082563867792487,756.262451171875
Model 7M,23000,260095.484375,0.003143500303849578,748.4739990234375
Model 7M,23500,262402.40625,0.003204826032742858,738.6650390625
Model 7M,24000,264677.375,0.0032653966918587685,728.7678833007812
Model 7M,24500,266993.6875,0.0033267848193645477,719.7229614257812
Model 7M,25000,269258.03125,0.003387949662283063,715.6468505859375
Model 7M,25500,271536.125,0.0034500397741794586,714.7557983398438
Model 7M,26000,273766.0625,0.003511179704219103,712.6671142578125
Model 7M,26500,275996.21875,0.003572929883375764,708.2426147460938
Model 7M,27000,278232.34375,0.003635489149019122,703.08740234375
Model 7M,27500,280450.71875,0.003697602776810527,694.7299194335938
Model 7M,28000,282630.59375,0.0037596598267555237,688.4451904296875
Model 7M,28500,284817.5,0.003821765072643757,682.4464111328125
Model 7M,29000,285956.46875,0.0038546978030353785,677.9432373046875
Model 30M,0,308018.34375,0.0004001898632850498,87.76112365722656
Model 30M,500,326142.0,0.00045072982902638614,360.48272705078125
